0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,22.22,12.29,50.19,58.10,58.72,59.16,57.93,60.34,59.21,59.88,60.81,61.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,5.39,57.19,58.38,58.84,58.11,60.60,59.64,60.44,61.39,64.81,62.14,62.78,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,12.02,57.03,57.59,57.26,59.06,60.05,60.60,60.60,60.59,61.93,62.59,63.15,64.32,0.00,0.00,0.00,0.00,0.00
0.00,0.00,5.09,56.56,55.95,56.65,57.60,57.08,56.21,52.79,56.03,54.59,61.56,62.67,63.42,63.73,25.00,25.00,25.00,25.00,25.00
0.00,0.00,0.00,56.11,55.98,55.93,56.14,55.68,56.45,57.48,59.92,59.99,61.15,60.91,62.18,64.45,64.91,0.00,0.00,0.00,0.00
0.00,0.00,36.36,55.49,55.74,54.47,55.53,57.55,58.67,59.91,61.24,62.53,63.56,63.75,62.88,63.85,65.06,62.88,0.00,0.00,0.00
0.00,1.27,48.44,54.98,51.56,54.49,55.56,56.74,56.54,42.91,38.25,39.56,64.26,65.15,64.61,64.34,65.77,67.22,0.00,0.00,0.00
0.00,1.22,55.46,54.36,50.03,52.95,55.09,56.12,33.15,35.92,36.64,37.05,38.05,65.72,66.28,66.42,66.30,66.72,0.00,0.00,0.00
0.00,0.00,53.86,53.64,49.30,51.87,54.03,53.60,34.71,35.53,36.49,34.65,37.59,39.18,67.47,67.36,66.77,67.29,34.89,0.00,0.00
0.00,2.92,53.60,53.45,51.10,51.55,52.97,52.46,35.43,32.56,33.95,35.08,36.72,37.33,67.96,69.09,68.56,67.85,66.18,0.00,0.00
0.00,0.00,53.22,51.84,47.31,51.02,51.61,50.86,36.32,32.20,33.70,34.52,35.99,35.90,54.55,70.75,70.74,69.33,68.68,0.00,0.00
0.00,2.85,52.78,51.30,47.15,47.29,50.32,50.45,37.10,37.82,34.57,36.50,35.97,35.98,47.31,71.09,71.32,71.37,69.40,0.00,0.00
0.00,1.34,52.45,52.27,51.54,45.31,49.18,49.47,47.35,38.90,37.59,36.25,37.12,37.03,49.19,68.45,72.14,72.27,70.20,0.00,0.00
0.00,0.00,44.48,51.51,50.39,44.69,48.23,48.24,45.78,42.81,38.48,36.33,39.24,37.09,48.94,68.49,72.90,71.73,66.17,0.00,0.00
0.00,0.00,43.40,51.11,48.97,46.68,43.47,47.24,45.68,39.67,41.13,40.46,40.33,35.99,49.40,71.23,74.29,73.52,57.44,0.00,0.00
0.00,0.00,24.30,50.48,49.23,46.01,43.48,42.72,45.41,44.32,42.84,42.18,42.24,34.29,58.11,75.07,75.47,73.38,21.97,0.00,0.00
0.00,0.00,0.00,49.98,49.75,46.64,45.75,42.08,41.13,39.58,38.16,36.25,35.30,35.46,61.50,76.84,76.19,74.62,0.00,0.00,0.00
0.00,0.00,0.00,41.48,48.99,47.30,44.94,43.70,41.01,39.66,38.08,36.59,37.28,37.05,49.33,77.77,77.45,75.97,0.00,0.00,0.00
0.00,0.00,0.00,7.03,48.65,48.57,44.54,43.40,42.73,40.88,39.28,38.49,38.16,37.36,71.03,78.44,78.57,49.23,0.00,0.00,0.00
0.00,0.00,0.00,0.00,40.47,47.84,44.70,44.26,42.24,41.71,40.67,39.52,38.60,70.14,80.13,79.49,78.62,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,8.54,47.61,47.19,45.65,42.68,41.24,40.34,39.39,71.51,69.71,81.73,80.49,63.54,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,36.31,46.46,44.00,44.06,41.78,39.99,67.73,71.43,79.27,82.96,77.44,20.77,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,4.00,44.10,44.68,43.03,43.56,41.99,50.74,85.91,85.51,84.52,80.46,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,18.89,43.42,43.40,42.14,41.17,88.52,87.06,86.71,88.20,13.60,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.99,42.18,40.72,45.98,90.11,89.07,91.14,59.11,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.85,43.98,89.64,91.38,93.77,93.11,49.45,0.00,0.00,0.00,0.00,0.00,0.00
100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,72.41,97.77,97.85,98.60,99.60,100.00,100.00,100.00,100.00,100.00,100.00,100.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
